Id,WnvPresent
1,5.70307296057782e-05
2,5.7026632468713326e-05
3,5.702253562597355e-05
4,5.701843907753772e-05
5,5.7014342823384704e-05
6,5.7010246863493356e-05
7,5.7006151197842755e-05
8,5.7002055826411366e-05
9,5.6997960749178235e-05
10,5.699386596612225e-05
11,5.6989771477222274e-05
12,5.698567728245738e-05
13,5.698158338180605e-05
14,5.697748977524733e-05
15,5.6973396462760115e-05
16,5.696930344432328e-05
17,5.696521071991571e-05
18,5.696111828951627e-05
19,5.695702615310406e-05
20,5.695293431065756e-05
21,5.694884276215583e-05
22,5.694475150757778e-05
23,5.6940660546902305e-05
24,5.6936569880108284e-05
25,5.69324795071748e-05
26,5.6928389428080353e-05
27,5.692429964280403e-05
28,5.6920210151324745e-05
29,5.691612095362137e-05
30,5.691203204967303e-05
31,5.6907943439458205e-05
32,5.6903855122956e-05
33,5.689976710014532e-05
34,5.689567937100506e-05
35,5.689159193551415e-05
36,5.6887504793651486e-05
37,5.688341794539618e-05
38,5.687933139072672e-05
39,5.687524512962225e-05
40,5.6871159162061655e-05
41,5.686707348802386e-05
42,5.6862988107488015e-05
43,5.685890302043258e-05
44,5.6854818226836723e-05
45,5.685073372667933e-05
46,5.684664951993935e-05
47,5.6842565606595694e-05
48,5.683848198662729e-05
49,5.683439866001328e-05
50,5.683031562673217e-05
51,5.682623288676309e-05
52,5.682215044008498e-05
53,5.681806828667679e-05
54,5.681398642651743e-05
55,5.680990485958604e-05
56,5.680582358586118e-05
57,5.680174260532196e-05
58,5.679766191794733e-05
59,5.679358152371624e-05
60,5.6789501422607626e-05
61,5.678542161460065e-05
62,5.6781342099673836e-05
63,5.677726287780634e-05
64,5.6773183948977124e-05
65,5.676910531316512e-05
66,5.676502697034929e-05
67,5.67609489205088e-05
68,5.6756871163622194e-05
69,5.6752793699668626e-05
70,5.674871652862706e-05
71,5.674463965047645e-05
72,5.6740563065195776e-05
73,5.673648677276419e-05
74,5.673241077316025e-05
75,5.6728335066363133e-05
76,5.6724259652351806e-05
77,5.672018453110523e-05
78,5.6716109702602387e-05
79,5.6712035166822445e-05
80,5.670796092374397e-05
81,5.6703886973346145e-05
82,5.6699813315607964e-05
83,5.6695739950508376e-05
84,5.669166687802638e-05
85,5.6687594098141147e-05
86,5.6683521610831275e-05
87,5.667944941607594e-05
88,5.6675377513854116e-05
89,5.667130590414481e-05
90,5.6667234586926996e-05
91,5.6663163562179876e-05
92,5.665909282988205e-05
93,5.665502239001268e-05
94,5.665095224255079e-05
95,5.664688238747537e-05
96,5.664281282476541e-05
97,5.663874355440013e-05
98,5.6634674576358105e-05
99,5.6630605890618545e-05
100,5.662653749716047e-05
101,5.6622469395962875e-05
102,5.6618401587004765e-05
103,5.6614334070265344e-05
104,5.661026684572325e-05
105,5.660619991335765e-05
106,5.6602133273147595e-05
107,5.659806692507209e-05
108,5.6594000869110137e-05
109,5.658993510524098e-05
110,5.658586963344321e-05
111,5.658180445369606e-05
112,5.657773956597856e-05
113,5.657367497026973e-05
114,5.6569610666548585e-05
115,5.656554665479416e-05
116,5.6561482934985685e-05
117,5.6557419507101794e-05
118,5.6553356371121705e-05
119,5.654929352702447e-05
120,5.6545230974789094e-05
121,5.6541168714394844e-05
122,5.6537106745820344e-05
123,5.6533045069044826e-05
124,5.652898368404735e-05
125,5.652492259080692e-05
126,5.6520861789302634e-05
127,5.651680127951369e-05
128,5.651274106141876e-05
129,5.650868113499707e-05
130,5.6504621500227706e-05
131,5.650056215708969e-05
132,5.6496503105562076e-05
133,5.6492444345624125e-05
134,5.648838587725449e-05
135,5.648432770043243e-05
136,5.6480269815137004e-05
137,5.647621222134727e-05
138,5.647215491904229e-05
139,5.646809790820133e-05
140,5.646404118880305e-05
141,5.645998476082671e-05
142,5.6455928624251396e-05
143,5.645187277905615e-05
144,5.6447817225220076e-05
145,5.644376196272222e-05
146,5.643970699154187e-05
147,5.643565231165769e-05
148,5.643159792304896e-05
149,5.642754382569477e-05
150,5.642349001957418e-05
151,5.641943650466648e-05
152,5.6415383280950355e-05
153,5.641133034840509e-05
154,5.640727770700976e-05
155,5.640322535674347e-05
156,5.6399173297585287e-05
157,5.6395121529514525e-05
158,5.639107005250984e-05
159,5.6387018866550575e-05
160,5.638296797161578e-05
161,5.6378917367684585e-05
162,5.637486705473605e-05
163,5.637081703274931e-05
164,5.636676730170365e-05
165,5.6362717861577765e-05
166,5.6358668712350974e-05
167,5.635461985400237e-05
168,5.6350571286511066e-05
169,5.634652300985637e-05
170,5.634247502401699e-05
171,5.633842732897223e-05
172,5.633437992470122e-05
173,5.633033281118305e-05
174,5.632628598839686e-05
175,5.6322239456321756e-05
176,5.631819321493705e-05
177,5.631414726422148e-05
178,5.6310101604154345e-05
179,5.630605623471478e-05
180,5.6302011155881914e-05
181,5.629796636763506e-05
182,5.629392186995296e-05
183,5.6289877662814945e-05
184,5.628583374620012e-05
185,5.628179012008765e-05
186,5.627774678445664e-05
187,5.627370373928625e-05
188,5.62696609845558e-05
189,5.6265618520244026e-05
190,5.626157634633028e-05
191,5.62575344627937e-05
192,5.625349286961342e-05
193,5.6249451566768586e-05
194,5.624541055423856e-05
195,5.6241369832002065e-05
196,5.6237329400038466e-05
197,5.6233289258326915e-05
198,5.622924940684655e-05
199,5.6225209845576724e-05
200,5.622117057449621e-05
201,5.621713159358435e-05
202,5.62130929028203e-05
203,5.6209054502183227e-05
204,5.620501639165228e-05
205,5.6200978571206635e-05
206,5.619694104082564e-05
207,5.619290380048808e-05
208,5.618886685017331e-05
209,5.61848301898605e-05
210,5.61807938195288e-05
211,5.617675773915741e-05
212,5.617272194872569e-05
213,5.6168686448212415e-05
214,5.6164651237596964e-05
215,5.6160616316858515e-05
216,5.6156581685976244e-05
217,5.615254734492932e-05
218,5.614851329369713e-05
219,5.6144479532258475e-05
220,5.614044606059272e-05
221,5.6136412878679046e-05
222,5.613237998649666e-05
223,5.6128347384024746e-05
224,5.6124315071242676e-05
225,5.6120283048129265e-05
226,5.61162513146639e-05
227,5.6112219870825764e-05
228,5.6108188716594074e-05
229,5.6104157851948e-05
230,5.610012727686697e-05
231,5.609609699132978e-05
232,5.609206699531581e-05
233,5.608803728880429e-05
234,5.608400787177441e-05
235,5.6079978744205375e-05
236,5.607594990607661e-05
237,5.607192135736691e-05
238,5.606789309805569e-05
239,5.606386512812217e-05
240,5.6059837447545554e-05
241,5.605581005630506e-05
242,5.605178295438011e-05
243,5.6047756141749516e-05
244,5.60437296183927e-05
245,5.6039703384288894e-05
246,5.603567743941731e-05
247,5.603165178375718e-05
248,5.602762641728792e-05
249,5.602360133998836e-05
250,5.601957655183794e-05
251,5.601555205281589e-05
252,5.601152784290143e-05
253,5.60075039220738e-05
254,5.6003480290312444e-05
255,5.599945694759617e-05
256,5.599543389390446e-05
257,5.599141112921652e-05
258,5.598738865351159e-05
259,5.598336646676894e-05
260,5.5979344568968e-05
261,5.597532296008759e-05
262,5.59713016401072e-05
263,5.596728060900607e-05
264,5.5963259866763415e-05
265,5.595923941335852e-05
266,5.5955219248770833e-05
267,5.595119937297921e-05
268,5.594717978596309e-05
269,5.594316048770175e-05
270,5.5939141478174446e-05
271,5.593512275736043e-05
272,5.593110432523896e-05
273,5.592708618178951e-05
274,5.592306832699095e-05
275,5.5919050760822735e-05
276,5.5915033483264144e-05
277,5.591101649429443e-05
278,5.5906999793893084e-05
279,5.590298338203896e-05
280,5.589896725871154e-05
281,5.58949514238901e-05
282,5.589093587755393e-05
283,5.588692061968228e-05
284,5.588290565025444e-05
285,5.587889096924991e-05
286,5.587487657664755e-05
287,5.587086247242686e-05
288,5.586684865656712e-05
289,5.586283512904761e-05
290,5.585882188984783e-05
291,5.585480893894666e-05
292,5.585079627632361e-05
293,5.584678390195796e-05
294,5.5842771815829e-05
295,5.583876001791602e-05
296,5.583474850819855e-05
297,5.583073728665546e-05
298,5.582672635326626e-05
299,5.5822715708010254e-05
300,5.5818705350866744e-05
301,5.581469528181504e-05
302,5.581068550083443e-05
303,5.580667600790445e-05
304,5.5802666803003985e-05
305,5.5798657886112554e-05
306,5.579464925720948e-05
307,5.579064091627408e-05
308,5.578663286328584e-05
309,5.578262509822371e-05
310,5.577861762106718e-05
311,5.57746104317956e-05
312,5.577060353038825e-05
313,5.5766596916824516e-05
314,5.576259059108366e-05
315,5.575858455314523e-05
316,5.575457880298818e-05
317,5.5750573340591996e-05
318,5.574656816593604e-05
319,5.574256327899963e-05
320,5.57385586797621e-05
321,5.573455436820299e-05
322,5.573055034430122e-05
323,5.5726546608036355e-05
324,5.572254315938771e-05
325,5.5718539998334646e-05
326,5.57145371248567e-05
327,5.57105345389328e-05
328,5.57065322405425e-05
329,5.570253022966516e-05
330,5.569852850628011e-05
331,5.5694527070366714e-05
332,5.569052592190431e-05
333,5.5686525060872454e-05
334,5.5682524487250106e-05
335,5.5678524201016834e-05
336,5.567452420215195e-05
337,5.567052449063487e-05
338,5.566652506644511e-05
339,5.5662525929561664e-05
340,5.565852707996407e-05
341,5.56545285176317e-05
342,5.565053024254393e-05
343,5.564653225468011e-05
344,5.564253455401963e-05
345,5.563853714054204e-05
346,5.563454001422632e-05
347,5.5630543175052043e-05
348,5.5626546622998593e-05
349,5.562255035804534e-05
350,5.5618554380171654e-05
351,5.561455868935713e-05
352,5.561056328558073e-05
353,5.560656816882205e-05
354,5.5602573339060466e-05
355,5.559857879627537e-05
356,5.5594584540446154e-05
357,5.559059057155239e-05
358,5.558659688957307e-05
359,5.5582603494487806e-05
360,5.5578610386275976e-05
361,5.557461756491696e-05
362,5.557062503039018e-05
363,5.556663278267521e-05
364,5.556264082175107e-05
365,5.555864914759735e-05
366,5.555465776019344e-05
367,5.555066665951876e-05
368,5.554667584555271e-05
369,5.554268531827489e-05
370,5.5538695077664326e-05
371,5.55347051237006e-05
372,5.553071545636314e-05
373,5.552672607563135e-05
374,5.552273698148466e-05
375,5.551874817390266e-05
376,5.551475965286438e-05
377,5.5510771418349435e-05
378,5.550678347033725e-05
379,5.550279580880723e-05
380,5.5498808433738826e-05
381,5.5494821345111635e-05
382,5.549083454290469e-05
383,5.548684802709762e-05
384,5.548286179766985e-05
385,5.547887585460082e-05
386,5.547489019786994e-05
387,5.5470904827456866e-05
388,5.546691974334062e-05
389,5.546293494550083e-05
390,5.545895043391695e-05
391,5.545496620856842e-05
392,5.545098226943467e-05
393,5.544699861649533e-05
394,5.544301524972945e-05
395,5.543903216911669e-05
396,5.5435049374636494e-05
397,5.5431066866268285e-05
398,5.542708464399154e-05
399,5.5423102707785894e-05
400,5.5419121057630404e-05
401,5.541513969350471e-05
402,5.5411158615388295e-05
403,5.5407177823260586e-05
404,5.540319731710106e-05
405,5.539921709688936e-05
406,5.539523716260456e-05
407,5.539125751422632e-05
408,5.5387278151734105e-05
409,5.538329907510737e-05
410,5.53793202843256e-05
411,5.537534177936823e-05
412,5.537136356021496e-05
413,5.536738562684486e-05
414,5.536340797923759e-05
415,5.535943061737262e-05
416,5.535545354122944e-05
417,5.5351476750787725e-05
418,5.534750024602654e-05
419,5.534352402692557e-05
420,5.533954809346432e-05
421,5.533557244562223e-05
422,5.533159708337882e-05
423,5.5327622006713755e-05
424,5.532364721560614e-05
425,5.531967271003564e-05
426,5.5315698489981764e-05
427,5.5311724555424006e-05
428,5.530775090634184e-05
429,5.5303777542714976e-05
430,5.5299804464522504e-05
431,5.5295831671744125e-05
432,5.529185916435934e-05
433,5.528788694234764e-05
434,5.528391500568854e-05
435,5.5279943354361726e-05
436,5.527597198834632e-05
437,5.527200090762202e-05
438,5.5268030112168333e-05
439,5.526405960196478e-05
440,5.5260089376990844e-05
441,5.525611943722607e-05
442,5.525214978265014e-05
443,5.524818041324221e-05
444,5.524421132898195e-05
445,5.524024252984892e-05
446,5.523627401582261e-05
447,5.523230578688274e-05
448,5.522833784300846e-05
449,5.522437018417948e-05
450,5.5220402810375316e-05
451,5.52164357215755e-05
452,5.5212468917759574e-05
453,5.5208502398907236e-05
454,5.520453616499766e-05
455,5.5200570216010545e-05
456,5.5196604551925446e-05
457,5.519263917272189e-05
458,5.51886740783794e-05
459,5.518470926887753e-05
460,5.518074474419603e-05
461,5.517678050431403e-05
462,5.5172816549211255e-05
463,5.516885287886729e-05
464,5.5164889493261655e-05
465,5.516092639237408e-05
466,5.5156963576183753e-05
467,5.515300104467041e-05
468,5.5149038797813605e-05
469,5.514507683559288e-05
470,5.514111515798779e-05
471,5.51371537649779e-05
472,5.513319265654297e-05
473,5.5129231832662144e-05
474,5.5125271293315203e-05
475,5.5121311038481696e-05
476,5.511735106814119e-05
477,5.5113391382273445e-05
478,5.510943198085764e-05
479,5.5105472863873534e-05
480,5.5101514031300706e-05
481,5.509755548311871e-05
482,5.509359721930712e-05
483,5.508963923984553e-05
484,5.50856815447137e-05
485,5.508172413389081e-05
486,5.507776700735664e-05
487,5.507381016509076e-05
488,5.506985360707277e-05
489,5.506589733328223e-05
490,5.506194134369895e-05
491,5.5057985638302094e-05
492,5.505403021707145e-05
493,5.5050075079986624e-05
494,5.504612022702719e-05
495,5.504216565817294e-05
496,5.503821137340308e-05
497,5.5034257372697395e-05
498,5.503030365603549e-05
499,5.502635022339694e-05
500,5.502239707476138e-05
501,5.5018444210108375e-05
502,5.501449162941774e-05
503,5.501053933266867e-05
504,5.500658731984099e-05
505,5.50026355909143e-05
506,5.4998684145868196e-05
507,5.499473298468229e-05
508,5.4990782107336394e-05
509,5.498683151380973e-05
510,5.49828812040821e-05
511,5.497893117813312e-05
512,5.497498143594241e-05
513,5.497103197748959e-05
514,5.496708280275448e-05
515,5.4963133911716285e-05
516,5.495918530435485e-05
517,5.495523698064978e-05
518,5.495128894058072e-05
519,5.494734118412728e-05
520,5.494339371126929e-05
521,5.4939446521985975e-05
522,5.493549961625718e-05
523,5.493155299406254e-05
524,5.492760665538167e-05
525,5.4923660600194415e-05
526,5.491971482848001e-05
527,5.4915769340218314e-05
528,5.491182413538894e-05
529,5.4907879213971526e-05
530,5.4903934575945725e-05
531,5.48999902212912e-05
532,5.4896046149987766e-05
533,5.489210236201469e-05
534,5.4888158857351814e-05
535,5.488421563597879e-05
536,5.488027269787527e-05
537,5.487633004302091e-05
538,5.487238767139554e-05
539,5.486844558297844e-05
540,5.486450377774947e-05
541,5.4860562255688276e-05
542,5.4856621016774535e-05
543,5.4852680060987886e-05
544,5.484873938830821e-05
545,5.484479899871476e-05
546,5.4840858892187403e-05
547,5.483691906870582e-05
548,5.483297952824967e-05
549,5.4829040270798624e-05
550,5.4825101296332546e-05
551,5.482116260483073e-05
552,5.481722419627303e-05
553,5.481328607063914e-05
554,5.4809348227908724e-05
555,5.480541066806147e-05
556,5.480147339107724e-05
557,5.479753639693535e-05
558,5.4793599685615654e-05
559,5.478966325709785e-05
560,5.478572711136163e-05
561,5.4781791248386665e-05
562,5.4777855668152856e-05
563,5.4773920370639495e-05
564,5.4769985355826464e-05
565,5.4766050623693473e-05
566,5.476211617422021e-05
567,5.475818200738637e-05
568,5.475424812317164e-05
569,5.475031452155594e-05
570,5.474638120251856e-05
571,5.4742448166039394e-05
572,5.473851541209817e-05
573,5.473458294067459e-05
574,5.473065075174853e-05
575,5.472671884529933e-05
576,5.472278722130689e-05
577,5.471885587975092e-05
578,5.4714924820611136e-05
579,5.4710994043867256e-05
580,5.4707063549499176e-05
581,5.470313333748623e-05
582,5.469920340780834e-05
583,5.469527376044521e-05
584,5.4691344395376585e-05
585,5.468741531258217e-05
586,5.468348651204188e-05
587,5.4679557993735076e-05
588,5.467562975764165e-05
589,5.4671701803741354e-05
590,5.4667774132013894e-05
591,5.466384674243903e-05
592,5.465991963499668e-05
593,5.4655992809666175e-05
594,5.465206626642746e-05
595,5.464814000526028e-05
596,5.4644214026144356e-05
597,5.464028832905943e-05
598,5.4636362913985264e-05
599,5.463243778090177e-05
600,5.462851292978831e-05
601,5.4624588360624846e-05
602,5.46206640733911e-05
603,5.461674006806683e-05
